668
BOSSERT, Helmuth Theodor
BOUCHARD, Henri
BOUREK, Zlatko
BOURGEOIS, Louise
BOURGEOIS, Victor
BOUVARD, Joseph-Antoine
BRADIĆ, Kosta
BRAGAGLIA, Anton Giulio
BRAQUE, Georges
BRAŠIĆ, Janko
BRAŠOVAN, Dragiša
BRATANIČ, Rudolf
BRATANIĆ, Franjo
BRATBY, John
BREGOVAC, Zdravko
BRELA DONJA
BRETON, André
BREUIL, Henri, abbé
BRIANCHON, Maurice
BRINCKMANN, Albert Erich
BRION, Marcel
BRIX, Joseph
BROEK, J. H. van den
BROGGI, Luigi
BROOKS, James
BRYGGMAN, Erik
BRZOZOWSKI, Tadeusz
BUCHTHAL, Hugo
BUIĆ, Jagoda
BUKOWSKI, Jan
BUKTENICA, Eugen
