672
DOMANOVSZKY, Endre
DOMENICO DI CAPODISTRIA
DOMERGUE, Jean-Gabriel
DOMJÁN, József
DŌMOTO, Sannosuke
DONASSY, Rudolf
DORAZIO, Piero
DORFLES, Gillo
DORIVAL, Bernard
DOSTAL, Josip
DOVJAK, Marjan
DRAGOMANOVIĆ, Aleksandar
DRAŠKOVIĆ, Albert
DREYFUSS, Henry
DU BOIS, Guy Péne
DUDOVICH, Marcello
DUKIĆ, Stevan
DULAC, Edmond
DUMENGJIĆ, Zoja
DUNIKOWSKI, Xawery
DYGGVE, Ejnar
EAMES, Charles
EBERHARDT, Hugo
EBIHARA, Kinosuke
EDWARDS, George Wharton
EICHLER, Reinhold Max
EIERMANN, Egon
EINEM, Herbert
EINSTEIN, Carl
ÉK, Sándor
ELEZOVIĆ, Gliša
ELMIGER, Franz-Jacob
EMBRIACHI
ENGST, Georg
ERCEGOVIĆ, Višnja
ERIKSEN, Edvard
ERSKINE, Ralph
ERVI, Aarne
ESKULAP
ETTINGHAUSEN, Richard
