671
DAJHT-KRALJ, Vera
D’ALTRI, Arnold
DALWOOD, Hubert
DAMNJANOVIĆ, Radomir-Damnjan
DANZIG
DASZEWSKI, Władysław
DAZZI, Arturo
DE COSTER, Pieter
DE LUCA, Julije
DEBELJKOVIĆ, Branibor
DEBERITZ, Per
DELACROIX, Henry-Edmond
DELALLE, Ivo
DELFIN, Vojtjeh
DELJA, Nebojša
DEMUS, Otto
DEPERO, Fortunato
DEREGUS, Mihail Gordjejevič
DERKOVITS, Gyula
DERVIŠEVIĆ, Mensur
DESPIĆ-SIMONOVIĆ, Iva
DEY, Mukul
DEŽMAN, Karl
DIETZ, Elmar
DIETZ, Lothar
DIEZ, Julius
DIGNIMONT, André
DIMITRIJEVIĆ, Milo
DIMITROV-MAJSTORA, Vladimir
DINČIĆ-MENEGHELO, Virgil
DINE, Jim
DOBIDA, Karel
DOBROVOLJSKI, Anatolij Vladimirovič
DOBSON, Frank
DOBUŽINSKI, Mstislav Valerijanovič
DOLENČIĆ-MALEŠEVIĆ, Maja
