673
FABIANI, Maks
FABRIS, Stanko
FAKIN, Vida
FALDISTORIJ
FASSBENDER, Josef
FATUR, Dragotin
FAUTRIER, Jean
FILIP, Jan
FILIPOVIĆ, Franjo
FILIPPO DA VERONA
FILOV, Bogdan
FINK, Don
FISCHER, Hans
FISCHER, Klaus Jürgen
FLANAGAN, John B.
FONTA, Giovanni Battista
FORETIĆ, Vinko
FRANCASTEL, Pierre
FRANCHI, Rossello di Jacopo
FRANCHINA, Nino
FRANCIS, Sam
FRANKENTHALER, Helen
FRANKL, Paul
FRÉLAUT, Jean
FREUD, Lucien
FRIEDLAENDER, Gotthard Johnny
FRIEDLAENDER, Walter Ferdinand
FRIGERIO, Ezio
FRINK, Elisabeth
FRÖHLICH-BUM, Lili Karoline
FUCHS, Eduard
