664
AMBROGIO DA FOSSANO
AMIET, Cuno
AMMANN, Marguerite
ANDRÉ, Maurice
ANDRÉA, Kees
ANDREA D’ASSISI
ANDREEVSKI, Tome Milanov
ANDREJEVIĆ-KUN, Đorđe
ANDRÉOU, Constantin
ANGELI RADOVANI, Frane Branko
ANGELUŠEV, Boris
ANTAL, Frederick
ANTHOONS, Willy
ANTIĆ, Ivan
ANTUNES, Ribeiro
APOLLONIO, Umbro
APPEL, Carl
ARAI, Tatsuo
ARCHAMBAULT, Louis
ARCHER, Bruce
AREN, Post Janovič
ARGAN, Giulio Carlo
ARHIPENKO, Aleksandar Porfirjevič
ARHIPOV, Abram Jefimovič
ARMSTRONG, Will Steven
ARNOLD, Klaus
ARNOLD, Walter
AROSENIUS, Ivar
ARP, Hans
ART NOUVEAU
ASAKURA, Fumio
ASŌ, Saburō
ASPLUND, Erik Gunnar
ATANACKOVIĆ, Milenko
ATLAN, Jean-Michel
AUBERJONOIS, René
AUSBORN, Gerhard
