680
LADA, Josef
LAJTA, Béla
LALIĆ, Josip
LAMBERT-RUCKI, Jean
LAMBRECHTS, Frans
LANDOWSKY, Paul-Maximilien
LANDSBERGER, Franz
LAPOUJADE, Robert
LARIONOV, Mihail Fjodorovič
LARKIN, Peter
LASKARIS, Kimon
LASSAW, Ibram
LE CORBUSIER
LE DOUX, Jeanne Philiberte
LE MARQUET, Jacques
LE PARC, Julio
LECHNER, Ödön
LEGUEULT, Raymond
LEKO, Dimitrije M.
LEONCILLO
LERCHINGER, Anton
LEVASSEUR, André
LEVČENKO, Pjotr Aleksejevič
LEVERENTZ, Sigurd
LEVI, Rino
LEYGUE, Louis
LEYMARIE, Jean
LICHTENSTEIN, Roy
LICINI, Osvaldo
LIČENOSKI, Lazar
