665
AVRAMIDIS, Joannis
AVRAMOVSKI, Dmitar
AVRAMOVSKI, Gute Dragutin
AZECHI, Umetarō
AZGUR, Zair Isaakovič
BABA, Corneliu
BAHORIĆ, Belizar
BAHR, Hermann
BAHUNEK, Antun
BAJ, Enrico
BAKEMA, Jacob
BAKOVIĆ, Stjepan
BALDACCINI, César
BALDASS, Ludwig
BALESTRIERI, Lionello
BALKANSKI, Nenko
BALLA, Giacomo
BANDMANN, Günter
BANDURA, Jerzy
BÄNNINGER, Otto Charles
BARAČ, Antun
BARASCHI, Constantin
BARCZYŃSKI, Henryk
BARETIĆ, Biserka
BARR, Alfred Hamilton Jr.
BARRAUD, Maurice
BARTNING, Otto
BARTOLIĆ, Ivo
BASALDELLA, Afro
BASTL, Vjekoslav
BAŠIČEVIĆ, Dimitrije
BATIČ, Stojan
BATISTA, Milan
BATOVIĆ, Šime
