667
BERNI, Antonio
BERNIK, Janez
BERNOULLI, Hans
BERTHOLD, Joachim
BERTOIA, Harry
BERTONI, Wander
BER-VUKIĆ, Jelena
BEŠKOV, Ilija
BEŽEK, Nikolaj
BIAGIO D’ANTONIO
BIJELIĆ, Jovan
BIROLLA, Gvidon
BISSIÈRE, Roger
BITENC, Tone
BIZZAMANO, Angelo
BJÖRCK, Gustaf Oscar
BLACK, Misha
BLOC, André
BLUNT, Anthony
BODMER, Walter
BOGOJEVIĆ, Ratomir
BOGUSZ, Marian
BOJNIČIĆ, Vjera
BOLJKA, Janez
BOMBARDELLI, Vuko
BORČIČ, Bogdan
BORDALLO PINHEIRO, Columbano
BORDUAS, Paul-Emil
BORÈS, Francisco
BOROWSKI, Wacław
BOSE, Nandalal
BOSILJ, Ilija
