669
BULOVEC-MRAK, Karla
BUNSHAFT. Gordon
BURCKHARDT, Carl
BURCKHARDT, Ernst
BURY, John
BUTINA, Milan
BUTORAC, Pavao
BUTTI, Lovro
CALIARI, Carlo
CALLERY, Mary
CALÒ, Aldo
CAMBELLOTTI, Duilio
CAMPI, Bernardino
CANDELA, Felix
CANDILIS, Georges
CANONICA, Pietro
CARDENAS, Augustin
CARMI, Eugenio
CARO, Anthony
CARRÀ, Carlo
CARRARA, Frano
CASCELLA, Basilio
CASORATI, Felice
CASPAR, Karl
CASTIGLIONI
CECCHELLI, Carlo
CEDESTROM, Gustaf Olaf
CÉRIA, Edmond
CÉSAR
CHASTEL, André
CHAUVIN, Louis
CHÁVEZ MORADO, José
