Natuknica,Stranica,Tekst,Prilog,Vez
AACHEN,1,"<strong>AACHEN</strong> (rim.<em> Aquae Grani, Aquisgranum</em>, staronjem.<em> Ahha</em>), grad u Zapadnoj Njemačkoj s katedralom, kojoj jezgru sačinjava dvorska kapela Karla Velikog, građena oko 790&mdash;804, a posvećena 805; kao njezin graditelj spominje se Odo iz Metza. Ova je kapela glavno djelo karolin&scaron;ke arhitekture, a kao centralna građevina oktogonalnog tlocrta izuzetak, koji podsjeća na S. Vitale u Ravenni. Nadsvođena je kupolom, a u unutra&scaron;njosti ima kroz dva sprata otvorene galerije. Lukove gornje galerije unutar ležaja podržavaju po dva stupa, koji dijelom potječu iz Ravenne, i ukazuju na akonstruktivno shvaćanje graditelja ovog razdoblja. Oko sredi&scaron;nje kapele nastale su kasnije dogradnje, tako atrij, gotički kor započet 1355, zvonik i pet prigrađenih kapela. Po dosada&scaron;njim hipotezama prvotna je karolin&scaron;ka građevina vjerojatno poslužila kao model biskupu Donatu, kad je poslije svoga aachenskog boravka gradio crkvu u Zadru ili možda pregrađivao manji stariji sakralni objekt (v.<em> Donat, Sv.).</em> U Aachenu su sačuvani ostaci starih gradskih utvrda, t. zv.<em> Grashaus</em> sagrađen 1267 kao Gradska vijećnica (danas drž. arhiv), te novija Gradska vijećnica, podignuta u gotičkom stilu 1333&mdash;70 na ostacima carske palače, a restaurirana 1898&mdash;1902.<br /> LIT.: <em>P. Clemen,</em> Das Aachener M&uuml;nster, Rhein. Baudenkm&auml;ler, 1924. &mdash; <em>H. Schnitzler,</em> Der Dom zu Aachen, 1950.",,1
"AADNÄS, Peder Pedersen",1,"<strong>AADN&Auml;S, Peder Pedersen,</strong> norve&scaron;ki slikar (Odn&auml;s, 16. VIII. 1739 &mdash; Ringerike, 1792). Nadaren seljački momak; učio kod portretista Chr. Tonninga u Kristijaniji (1770), a zatim se vratio na selo i nastavio slikanjem (portreti, figure, pejzaži, alegorije, dekoracije). Po svome likovnom izrazu, temeljenom na robustnom pučkom shvaćanju, koji je &scaron;kolovanjem dobio stilska obilježja rokokoa, A. je zanimljiva pojava u norv. slikarstvu XVIII<em> st.</em>",,1
"AALTO, Alvar Hugo Henrik",1,"<strong>AALTO, Alvar Hugo Henrik,</strong> finski arhitekt (Kuortane u Finskoj, 3. II. 1898&mdash;). Arhitekturu diplomirao 1921 na Visokoj tehničkoj &scaron;koli u Helsinkiu. Zaposlen neko vrijeme u projektantskom birou u G&ouml;teborgu, a od 1922 radi samostalno. Ubrzo postaje jedan od vodećih fin. arhitekata, a svojim projektima oko 1930 stječe priznanje i u svijetu. Pripada onoj grupi arhitekata (Le Corbusier i dr.), koji se oslobađaju od strogosti stereometrijske sheme oblikovanja i traže pobude u bogatstvu prirodnih oblika. On promatra oblike &scaron;koljaka, kamenja, talasanja vode ili savijanja drveća i nastoji u svojim djelima umjesto tehničko-konstruktivne funkcionalnosti naglasiti ovisnost forme o prirodnoj, životnoj, t. j. organskoj funkciji. Rezultat toga su krivulje (valovita fronta studentskog doma u Cambridgeu, Massachusetts), ovali (basen u obliku bubrega uz vilu<em> Mairea,</em> 1938&mdash;39, kod Helsinkia), konkavne i konveksne plohe, arhitektura, koja s pravom nosi ime organska arhitektura. Nove mogućnosti oblikovanja uslovljenog organskom funkcijom navijestio je već Le Corbusier u svojim projektima za Alžir, ali je tek A. na toj osnovi razvio nov arhitektonski stil i time se afirmirao kao jedan od pionira moderne arhitekture.<br /> Počeo je raditi u vrijeme, kada u Finskoj, nakon rata za oslobođenje, dolazi do ubrzane industrijalizacije zemlje. On projektira industrijsku izložbu u Tampereu (1922), gradi tvornice u Oulu-u (1930), Anjali (1936&mdash;37), Sunili (1939) i Kotki (1952) te mnoge druge industrijske objekte. U Turku-u gradi kazali&scaron;te, a u Pemaru (Paimio) sanatorij (1929&mdash;33). Posebno mjesto među njegovim projektima zauzima knjižnica u Vyborgu (1933&mdash;35; uni&scaron;tena u Drugome svjetskom ratu), kod koje je uspio ostvariti potpunu sintezu slobodnog konstruiranja jednostavnim materijalima (drvo) i funkcionalnosti. God. 1937 na Svjetskoj izložbi u Parizu projektira fin. paviljon, a 1939 odlazi u Ameriku i na Svjetskoj izložbi u New Yorku gradi paviljon &mdash; najsmionije arhitektonsko ostvarenje izložbe. Valoviti i prema unutra nagnuti zidovi, obloženi vertikalnim drvenim letvama, značili su potpunu negaciju konstruktivne funkcionalnosti, ali su u težnji za povećanjem izložbene povr&scaron;ine imali duboko funkcionalno opravdanje. U to vrijeme A. prihvaća mjesto profesora na<em> Institute of Technology </em>u Cambridgeu (Massachusetts), gdje gradi 1947&mdash;49 studentski dom; valovitom fasadom izbjegao je izgled trome masivnosti, koja je neizbježna kod građevina takvih dimenzija. U Americi je suradnik F. L. Wrighta i W. Gropiusa. God. 1947 podijeljen mu je kao prvom od arhitekata naslov počasnog doktora univerziteta Princeton.<br /> U planiranju urbanističkih kompleksa A. komponira manje jedinice u zelenilu, povezane međusobno logikom prirodnog životnog toka; ako zgrade treba da slijede liniju ulice ili granicu kopna, on ih postavlja koso i tako omogućuje svim stanovima podjednak pristup zraka i sunca. Značajni su, u Finskoj, njegovi projekti gradskog centra u Imatri, regulacioni plan otoka S&auml;yn&auml;tsalo (1942&mdash;45), projekt za eksperimentalni grad (1940), projekt za rekonstrukciju glav. grada Laplandije Rovaniemi (1944&mdash;45) i dr. &mdash; Posebnu pažnju posvetio je unutarnjoj arhitekturi. God. 1935 osnovao je poduzeće za izradbu vlastitih tipova pokućstva (namje&scaron;taj od savijena drva).<br /> Arhitekturu Aalta karakterizira duboka povezanost s fin. starom drvenom nar. arhitekturom i specifičnim fin. pejzažom. Projekti mu se odlikuju mno&scaron;tvom niskih linija, čistim neprekinutim formama i smi&scaron;ljenim i trijeznim rasporedom. Nove metode arhitekture prihvaća, ali samo u granicama humanog. Tehnika mora biti podvrgnuta potrebama čovjeka, a standardizacija umjetniku stvaraocu; arhitektonski objekt ne smije ostati samo suha demonstracija konstrukcionog umijeća. Stoga A. ne poku&scaron;ava nemoguće, po&scaron;tuje prirodne zakone i nikada ne ide za tim, da stvori &raquo;lebdeće&laquo; ili &raquo;prozirne&laquo; građevine. Ponovna valorizacija zida i sra&scaron;tenost s tlom čine da njegovi objekti djeluju kao izljeveni iz jednog komada. Veza s tradicijom i uvriježenim načinom života održana je u rasporedu prostorija, u po&scaron;tovanju intimnosti prostora, a posebno u čestoj upotrebi drva i opeke. Uvodeći ponovo drvo i opeku kao građevne materijale usklađene s organskom koncepcijom arhitekture, A. je otvorio izvanredne tehničke i estetske mogućnosti primjene drva, specijalno u konstrukciji svodova (sportski stadion u Otaniemi, 1952). Upravo je drvo materijal, koji daje specifičan karakter cjelokupnoj Aaltovoj arhitekturi.<br /> Značenje je Aalta u tome, &scaron;to je smiono prihvatio i zadržao elemente fin. arhitekture i te lokalne elemente, umjetnički oblikovane, učinio općom svojinom suvremene arhitekture. Po&scaron;av&scaron;i od prirodnih oblika i njihove organske funkcije A. je izvr&scaron;io u arhitekturi odsudan prijelaz od racionalno-funkcionalnih oblika prema organskom shvaćanju umjetničke forme.&nbsp;&nbsp; Ž. D.<br /> LIT.: <em>S.</em> <em>Giedion,</em> O radu Alvar Aalta, Arhitektura i urbanizam, 1950, 9&mdash;10.",,1
"AARSLEFF, Carl Wilhelm Oluf Peter",2,"<strong>AARSLEFF, Carl Wilhelm Oluf Peter,</strong> danski kipar (Nyborg, 14. VIII. 1852 &mdash; K&oslash;benhavn, 1918). Učenik i od 1901 prof. k&oslash;benhavnske akademije. U duhu klasicizma, koji vlada u danskoj plastici pod utjecajima B. Thorvaldsena, radi skulpturu s mitolo&scaron;kim temama, velike dekorativne kipove i reljefe za fasade javnih ustanova, portretna poprsja i statuete.",,1
"ABA NOVÁK, Vilmos",2,"<strong>ABA NOV&Aacute;K, Vilmos,</strong> madžarski slikar i grafičar (Budimpe&scaron;ta, 1894&mdash;1941). Učenik slikara K. Ferenczya i grafičara V. Olgyaia na budimpe&scaron;tanskoj akademiji. Slikao teme iz madž. života i portrete. A. N. je fantast, koji se individualno odvojio od matične struje tada suvremenog madž. slikarstva. Regionalne i provincijske motive interpretirao je s jakom narativnom pjesničkom notom. Karakteristični su njegov o&scaron;tar crtež i efektni koloristički kontrasti. Jedan od najboljih grafičara svoje generacije.",,1
"ABACCO, Antonio dall’",2,"<strong>ABACCO, Antonio dall&rsquo;</strong> (zvan i<strong> da Labacco</strong>), talijanski graditelj (Vercelli, oko 1495 &mdash; poslije 1567). U radionici Antonia da Sangalla ml. u Rimu izradio prema učiteljevu planu model Petrove bazilike. Izgradio fortifikacije u Parmi i Piacenzi. Pripisuje mu se portal rimske visokorenesansne palače<em> Sciarra-Colonna. </em>Upravljao građevnim radovima na lateranskoj crkvi i baptisteriju. Izdao teoretsko djelo<em> Libro... appartenente all&rsquo; architettura</em> (1552) s bakrorezima, &scaron;to ih je po njegovim crtežima izradio njegov sin<em> Mario dall&rsquo; A.; </em>ovi su bakrorezi poku&scaron;aj restitucije ant. rimskih građevina.",,1
ABACULUS,2,<strong>ABACULUS </strong>v.<em> Abak</em>,,1
"ABADIE, Paul, ml.",2,"<strong>ABADIE, Paul, ml.,</strong> francuski arhitekt i restaurator (Pariz, 9. XI. 1812 &mdash; 3. VIII. 1884). Restaurirao građevine u provinciji i u Parizu, gdje je od 1845 surađivao kod obnove<em> Notre-Dame </em>uz E. Viollet-le-Duca. Rje&scaron;avao suvremene građevne zadatke primjenjujući hist. stilske oblike (romaničko-bizant. bazilika <em>Sacr&eacute;-Coeur</em> u Parizu, 1874).",,1
ABAGAR,2,"<strong>ABAGAR (abgar, avgar),</strong> najstariji prikazi Kristova lika, koji po tradiciji nisu naslikani ljudskom rukom (grč. <em>ἀ&chi;&epsilon;&iota;&rho;&omicron;&pi;&omicron;&iota;&epsilon;&tau;ά</em> aheiropoieta od <em>ἀ</em> a<em> ne</em>,<em> &chi;&epsilon;ῖ&rho;</em> heir<em> ruka</em> i <em>&pi;&omicron;&iota;έ&omega;</em> poieo raditi). Nazvani po kralju Abgaru, kome je prema legendi Krist poslao svoj lik otisnut na tkanini. U abagare se ubraja i<em> Veronikin rubac. </em>Kod Srba i Bugara, svete sličice, znakovi i molitve, &scaron;to služe kao amajlije.",,1
"ABAISI, Arduino",2,"<strong>ABAISI (da Baisio), Arduino,</strong> talijanski drvorezbar, član porodice, koja je potkraj XIV i u prvoj pol. XV<em> st.</em> djelovala u Ferrari, Firenci i Veneciji. A. A., nazvan<em> maestro subtilissimus ac nobilissimus,</em> spominje se 1406&mdash;54. Izrađivao rezbarene i intarzirane klupe, pultove za čitanje, te ormare za crkve, sakristije i knjižnice.",,1
